NAME,COST,TWISTED,DESCRIPTION,ID
ABERLON’S PHOENIX HEART,1200,NO,"A wand carved from a tree burned by sacred phoenix fire and adorned with a single phoenix feather. While this wand is active, you can control any fire nearby as if it is an extension of your body, and you are immune to heat and fire. In addition, if an effect would ever Down you, you can choose to activate Rebirth, which covers you in a veil of sacred fire and removes all your Condition stacks. If you do so, the phoenix feather on this wand will be scorched, and the wand will be unusable for a full month while it regrows.",wand_87k7tTmozdTYUd
MASTER OF THE WATERY KINGDOM,1250,NO,"A wand made from ocean-floor bedrock and inlaid with an enchanted pearl that glows with a sea-green light. While this wand is active, you can breathe underwater, and water around you moves as if an extension of your body. If you rest while underwater, you can restore 2 Conditions for every 1 you would normally restore.",wand_88HveR4gGD37KK
STAFF OF THE MASTER,1200,NO,"A long, heavy staff made of tangled dreamglow yew, a precious magic tree that only grows deep in fey enclaves, teeming with deep, powerful insight. While this wand is active, your spells trigger improvement rolls also on any roll with 1 degree of failure.",wand_895iA4c0HX1i3C
STORMING BLESSING,1200,NO,"A wand with a thick vein of lunar silver, spiraling from the base to a storm crystal set in the tip, which crackles with a wild magic energy. While this wand is active, you can choose one Stat at the end of any Downtime block including sleeping at night, and take a +3 bonus to that Stat. You can change the Stat that takes the bonus at any time as well, by making a DC22 Concentration roll, calling on chaotic storming magic. On a failure or a backfire, the magic explodes, and you must Resist, DC16, although if you backfire on a success, you still successfully change the Stat that receives the bonus.",wand_90j9ZNH8Va2Rxj
HEAVEN’S JUDGMENT,1300,NO,"A wand made of white celestial emerald, a precious and rare material said to be a leftover remnant from the creation of magic and to be linked to tychomantic fate. While this wand is active, any time someone you can see makes a Resist roll, you can force it to fail. When you do, you must Resist at the same DC.",wand_91YlHGEjUTHyo8
PLANESTRIDER,1300,NO,"A long, gnarled staff made of weaverweb, a tree that grows in SP-TT10229, a plane on the border of open ether, imbued with interplanar energies. While this wand is active, it grants a +2 to Summoning and to Teleportation, and you can split it down the middle into two smaller wands, which casts Plane Walk with a roll of 19. You can rejoin the two halves into one, which instantly returns you to your home plane. If you lose one or both halves of the wand while you are on another plane, though, you will need to cast Plane Walk to return. Once you have used the wand’s ability to cast Plane Walk, you must wait 24 hours for the ability to recharge again. The quintessential planehopper’s wand, and the primary reason planehoppers get lost and never found again. Hey, they’ve been warned.",wand_924JvIQjbBTIr8
DRAGON’S INTELLECT,1250,NO,"A wand carved from a dragon’s fang and imbued with a sliver of the dragon’s keen mind. While this wand is active, you automatically succeed on all spell-learning checks.",wand_93gvLmkkSstPZF
MEDITATIVE HEART,1200,NO,"A wand carved from dreamglow yew and set with a single dreamglow blossom set in amber resin, it shimmers with a faint pink light, small motes of spectral light that swirl around the tip. While this wand is active, you can perform any Downtime activity (other than Rest) in a Dreamglow Trance, which lets you gain the benefits of the Rest option along with whatever option you choose.",wand_943KgbzlkmXzPc
SKULLMASON,1250,NO,"A thin, delicate wand made from a small sliver of a stone giant’s bone. While this wand is active, you can cast Amalgamate as a Basic spell. You cannot have more than 5 amalgamated creatures at a time with this. Good if you want a skeletal army, which necromancers are all inexplicably fascinated by.",wand_95yw9fHqk3gegJ
ARCHITECT OF GLYPHS,1200,NO,"A deceptively simple wand made of dark wood in a classic shape set in a base of solid glyphburn, a magic metal that looks like deep gold and carries strong runological magic. While this wand is active, take a +4 bonus to Runology, and you can create a rune of 6 or more glyphs while treating three glyphs of your choice as 0 intensity rank and 0 material cost.",wand_96gG2QyiZZNK5u
SACRED INKWELL,1300,NO,"An elegant wand made from hellclaw inlaid with metal forged from a steelnose carapace. While this wand is active, you can take a +3 to Alchemy, and you can unscrew the sigil-shaped engraved head and pull out a long needle-like dropper, which you can dip into a potion of 250 material cost or less. The wand will consume the potion, but once it has, you can use the dropper to fill a vial with a copy of the potion once every 24 hours. You can “feed” the wand a new potion at any time to change which potion it provides, but it can only contain one at a time.",wand_978kYLj0QVWETB
VYLA’S EYE,1300,NO,"A small, thin staff made of hypnotic pearl, a magic compound rich with hypnomantic energy found only in deep sea caves. While this wand is active, every time you go to sleep for a full night of rest, you can cast the spell Dreamwalk without spending any material components on one person who you saw in person since the last time you slept. The beautiful pearlescent shimmer of the wand is the symbol of dreamcreeps, weird hypnomancers who pry on people’s dreams, and is thus a little unpopular. Except with dreamcreeps. They love it.",wand_98nwYA5fyVzvyu
MARWYN’S MOCKERY,1250,NO,"A brass banded wand made from 38 interlaid bands, each one forged under a slightly different type of magic. While this wand is active, any time you see a spell cast, you can roll Comprehend or Analyze versus the spell check. On success, that spell becomes stored in the wand, and you can cast it at the same roll it was originally cast with. If the spell is Advanced or higher, you will still need to provide the material cost. You can only have one spell stored this way at a time. While you have a spell stored, you can take a +2 bonus to whatever field the spell is in.",wand_99e2GgYoWy6S7V
JUNKPILE,1200,NO,"A wand with, uh, eclectic style, made of about sixty different interesting magical materials fused together, coming out with a magical propensity for, well, collecting random junk. While this wand is active, any time materials are used up nearby (excluding trades, only situations where the materials no longer exist), you obtain half the materials used, up to a maximum of 250. Does it make carrying this ugly thing around worth it, though?",wand_100H1PGQPvGAyxa
SONGWON’S RIGHTEOUS FURY,1400,NO,"A jagged, dangerous-looking wand made from dragon’s claws, crackling with sparking energy. While this wand is active, you can take a +4 to Evocation, and you can fire bolts of lightning from the tip of your wand. Roll Evocation, DC20, and on success, a target must roll Agility versus your check or be forced to Resist. This move can backfire like a Standard spell. You can also roll Evocation, DC20 to launch yourself forward with a clap of lightning, moving to a point you can see in an instant and arriving with a thunderous explosion, although if you fail or only have one degree of success, you must Resist. Songwon perhaps burned the brightest of all history’s evokers, but she had the bad habit of proving herself with fights against dragons, so she didn’t leave as many magic legacies as she could have if she weren’t stupid.",wand_101b2ymsyOiJis4
MOONSTRIDER,1200,NO,"A pale, silvery wand formed of a naturally fallen branch from the elusive lunar birch tree, glowing with soft moonlight rich with illusory energies. While this wand is active, you can create an illusory double of yourself, as in the spell Second Self, except that the illusory double is able to go anywhere and not just where you can see, and can follow more abstract instructions and perform basic reasoning. You can also create any number of illusory doubles with this ability. The wand has 2 hours of this ability, and it is split between each illusory double at any given point, so that one double lasts for 2 hours, four doubles last for half an hour, and so on. You can summon and dispel these doubles at will, and the 2-hour charge refreshes every morning at the first light of daybreak.",wand_102HHwpemOSDpxN
CRAFTER’S GRACE,1100,NO,"An intricate wand made with wood from a tree blessed by a unicorn. While this wand is active, you can take a +4 to Wandcrafting, and you can repair wand damage up to 300 materials’ worth instantly, only paying half the materials spent in the repair. The material-cost bonus does not apply to regular wand-repair rolls.",wand_103n6TX4QgbB8kx
REDMARE’S VEIL,1400,NO,"A deep violet wand woven with a dried vine of the eternity bell, a plant rich with chronomancy that’s only been found in the Amazon. While this wand is active, you can take a +4 to Chronomancy, and you can activate the wand’s magic to stop time, as if casting the Freeze spell with 6 degrees of success. Once you use this ability, the vine wrapped around the wand darkens to black, and the wand loses its abilities for 6 hours while the vine slowly regains its color.",wand_104CuESIPGhOwKF
HUNGRY WARTCAT,1250,NO,"A thick, sturdy wand made from broken-heart oak, a cursed and evil plant, but the wand’s not evil, don’t worry. Just a little greedy. While this wand is active, you can metabolize two potions at once. Under the official patent, the wand is called “Hungry Wartcat, Nom Nom Nom,” but, uh, nobody calls it that.",wand_105fp5DWUfhFcL7
BASKET OF BLOSSOMS,1100,NO,"A wand made from woven strands of fairywood, dreamglow yew, and passionoak, braided with snag silk. The wand feels bursting with vibrant natural magics just being close to it, and it smells like the forest. While this wand is active, you can take a +4 to Herbalism, and your cultivation capacity for magic plants increases by 500. In addition, you can bring one magic plant with you, up to 500 materials’ worth, stored inside an interplanar pocket within the wand and bursting out from the wand on command. If you unequip this wand and are cultivating magic plants over your capacity, you have 24 hours to get rid of them or reequip this wand, or the extra plants will die.",wand_106LjHMab9dMxBJ
PRINCESS ENCHANTRESS,1200,NO,"A beautiful, ornate wand with a black and red design that evokes a gothic style, carved in blackened whisperwood and brushed with snareleaf resin, giving it a blood-like sheen. While this wand is active, you can enchant yourself like you would an object, as the magic materializes in your blood. Keep in mind most enchantments are not a good idea to cast on a person.",wand_107dBvTul4gArGr
ARGON’S COMMANDMENT,1500,NO,"A curled wand made with passionoak coldly tempered with enchanted black quartz, exuding a powerful, commanding aura. While this wand is active, you can use artifacts you are not attuned to, but you take a -4 penalty on checks to use them and automatically fail backfire checks with them. Artifacts tend to find this rude, though. Generally they can’t speak, so you usually won’t know.",wand_108qgGisPD2LvBc
LILIBEL’S LOOKOUT,1350,NO,"An ethereal white wand made of a naturally fallen whisperwood branch, brushed with sweet wishrose resin and dusted with pixie dust. It appears to hum in a resonant tone when close by. While this wand is active, you can take a +2 to Divination, and you can cast Heaven’s Lens as a Basic spell. Once you’ve cast Heaven’s Lens, you can attempt a DC24 Divination roll to hide the porthole, but if you fail, you cannot try again on the same porthole. A powerful divinatory wand, but many men avoid using it because it’s “too girly.” Lilibel has been reported as saying “that’s okay.”",wand_109YodXZyWHllFU
NECROTIC EYE OF ROT,1300,NO,"A wildly over-the-top wand made of griffin bone, carved at the end to look like a human skull, with a magically-bound troll eye in its jaw. While this wand is active, you can take a +2 to Necromancy, and you can cast Voices from Beyond as a Basic spell, although you can only cast it once this way for any given creature you’re communicating with. It’s not exactly the cutest wand. Even the gothic aesthetic boards on Pinterest avoid it because it’s just a little much, you know?",wand_110w9ekcoZRH6GK
HEART-EYED WHISPERER,1350,NO,"A classically simple wand made of black stardust birch, set in a demonsteel base engraved with the name of a true demon. While this wand is active, you can take a +2 to Demonology and a +2 to Persuasion, and if you’re able to hold a conversation with someone for one minute, keeping your voice in a low, even tone, you can roll Persuasion + 12 versus their Comprehend. On success, you can convince them of one thing per degree of success that they will believe is the absolute truth for one minute, or you can “spend” three degrees of success to have the target believe something for ten minutes. Once the effect wears off, they realize you affected them psychically, and unless they’re into that, they probably won’t be happy. This wand is one of the main reasons people don’t like demonologists.",wand_111mNQdh3cQnV57
BEASTBLOOD,1200,NO,"A wand carved of a single piece of griffin yew, an ancient tree that naturally drives powerful creatures nearby to territorial battle rages, set with a small trophy from a creature up to 5 Resolve, chosen at creation. While this wand is active, you can take a +2 to Bestiology, and you can activate the wand (2AP) to transfigure into a half-human version of the type of beast with a trophy set in the wand. You can stay transformed for up to 10 minutes or end the transformation early, and while transformed, you can roll with the creature’s Strong roll on anything the creature itself would roll Strong on as well. When your transformation ends, you must Resist, DC18, and cannot transform this way again for an hour.",wand_112iwJxSgxMedCb
KEY TO THE INNER WORLD,8500,NO,"A scepter made of fine lunar silver forged in the heat of dreamglow fire and smelted with pixie dust, with an ornate bell design at the end. When you first equip this wand, it envelops you in a wave of shimmering pink light and pulls you into a dreamscape for one hour. Roll Comprehend, DC28, and on a failure, the wand rejects you, and you must Resist, DC20, and you fail to equip the wand. On a success, you become the master of the dreamscape, activating the wand. While this wand is active, take a +4 to Hypnomancy, and you can cast Dreamworld as a Basic spell to interact with this dreamscape. If you use the spell Vyla’s Room, you can have it take place inside your dreamscape, and up to four people in the dreamscape including yourself can take advantage of it at once. You have this wand inside your dreamscape, too, and if you unequip this wand inside your dreamscape, the dreamscape is shattered and everyone in it wakes up and must Resist, DC18.",wand_113tdtjHksz76wK
SILVER-EYED DRINKER OF PAIN,10000,NO,"A thick, black scepter carved from the raw core of the bleeding-heart oak, a deceptively simple design with a wooden body and a crow’s head engraved in the end. When you first equip this wand, the crow’s eyes light up in silver flame, and it emits a noxious black cloud, and you must Resist, DC19, five times in sequence as the toxic cloud attempts to force you into submission. If you reach 0 Resolve, the wand rejects you, and you fail to equip it. If you withstand it, the wand accepts you, and any time the wand is active, you can draw from its raw energy to power your magic, spending 500 materials’ worth of the wand’s condition to add one degree of success to a spell you cast, up to a maximum of 5 additional degrees of success at once. The wood becomes withered and cracked and frayed, and pieces begin to splinter off of the crow’s head, as its condition drops lower. When it is not at full condition, you can point the crow’s head towards another wand equipped by somebody you can see, and send a cloud of black magic that envelops the target wand (2AP). Roll Wandcrafting + 8 versus the target’s Endurance, and steal 500 materials’ worth of condition from the target’s wand per degree of success, adding it to this wand’s condition as the crow’s eyes light up in silver flame, drinking the target wand’s energy.",wand_114yw4Zy0VTbDws
HOPE’S FINAL BEACON,9000,NO,"A small wand made of whisperwood heart crafted into a classic design, with a lunar platinum base woven with six unicorn hairs in a classic knot pattern. When you first equip this wand, it will test your spirit, lighting up with chronomantic energy as it throws you through a simulated version of the timestream, replaying different moments of history and of your life to see how you react. Roll Willpower, Perception, Improvise, Persuasion, and Endurance, all DC22, to pass its trials. Add your degrees of success and subtract your degrees of failure, and if the result is 3 or greater, the wand accepts you. If you fail, the wand rejects you, and you must Resist, DC20, and must wait 24 hours before you can attempt the trials again. While this wand is active, it glows with a pale brassy light, and you can take a +4 to Chronomancy. At the end of each day, you can activate its power to revisit one ten-minute block of time of your choice through the day, returning to the situation you were in at that point but with any knowledge and new skills you’ve acquired since then. Anything you do differently during this time will rewrite the course of the day, although the timestream will adjust itself to accommodate for your changes with the smallest overall change possible.",wand_115ubhDGy74J5WA
DANCE OF THE FEY PROPHETS,8500,NO,"A wand forged of a single piece of feylight crystal, set in a grip made of wood from a sleeping willow that a unicorn has slept under. When you first equip this wand, it takes you lurching between planes. Roll Comprehend, DC25, and on success, you link yourself to the wand and flow with it through the planes, becoming one with its wild fey magics, successfully equipping it. On a failure, you must Resist, DC20, and you are teleported to a location up to one kilometer away that will cause you trouble. While this wand is active, you can take a +4 to Teleportation, and you can cast the Greater Warp and Blink spells as Standard (Ritual) and Basic spells, respectively. In addition, fey are more likely to like you, and any magic effect that would read your thoughts or detect if you are lying will fail and instead force the person using them on you to Resist, DC18. Side effects include sometimes coming out of a teleportation with a funny hat on your head. The fey are just like that.",wand_1165br8yLwdIOGE
STAFF OF THE ARCHITECTS,10000,NO,"A long, elegant staff made of wood from the wyvern knot tree, a legendary rare plant only found deep in the Amazon and said to be the source of power for the Architects, ancient runic masters from the Amazonian floodplains. The countless fine engravings of runes along the length of the staff shift every time it’s used, and it is said that the staff is weaving an epic story over a thousand years with its runes. When you first equip this wand, it will test your will: while this wand is equipped, you cannot use any magic other than Runology, and you automatically fail any Resist roll. If you make it one week without reaching 0 Resolve or unequipping the wand, the wand will accept you, and it will become active. While this wand is active, you can take a +4 to Runology, and you can have two Runic Blessings active at once. In addition, any time a rune would cost less than 200 materials and take less than 2 hours to create, you can instead place it in ten minutes with 0 material cost.",wand_117kEFFAXQKTuIk
THE TEN THOUSAND FACES OF THE DARK LADY,8500,NO,"A twisted black wand made from passionoak corrupted by demonic energy, woven with crimson hairs from the mane of a Nightmare. When you first equip this wand, it wrenches your consciousness into a realm of pure demonic energy, swirling with demonic contracts and cold logic. Roll Analyze, DC30, and on a failure, you must Resist Doubt, DC22. If failing this Resist roll puts you at 0 Resolve or 3 Doubt, you will be possessed by a demon for 24 hours. If you succeed, the wand links up to your mind, and you can hear its cold, calculating analysis as whispers in your head. While this wand is active, take a +2 to Logic, and you can cast the spell Spectral Mask as a Standard (Ritual) spell. You can also choose to roll the spell with Demonology instead of Illusion. You can tap into the calculating logic of the demonic mind at any point, increasing the Logic bonus to +6 for thirty minutes, but you must Resist Doubt, DC20 at the end of this period, and if this puts you at 0 Resolve or 3 Doubt, a demon will possess you for 24 hours.",wand_118Q2tnUmcn6J55
MASTER OF THE CRYSTAL MATRIX,8000,NO,"A wand forged from the scales of a crystal dragon, glistening a thousand different colors depending on what angle it’s viewed from. When you first equip this wand, it envelops you in a spectral realm of endless crystalline alignments, swirling around you and threatening to drive you to madness. Roll Concentration, DC30, and on success, you successfully equip the wand as the alignment snaps into place around you and you feel the endless spectral realm of crystals become one with your consciousness. If you fail, you are knocked unconscious for 4 hours. While this wand is active, you can take a +4 to Crystallomancy, and you can align with an unlimited number of crystals, but you cannot stack the same alignment multiple times this way. If you backfire on any alignment roll, the matrix is disturbed, and you lose all your previous alignments.",wand_119G5rW7j708vsQ
THE DRAGON LORD’S STANDARD,9000,NO,"A staff forged from the willingly shed claw of a true dragon, set into a body of stardust birch, it radiates with a spectral energy that creates a shimmering trail behind it when it moves, with a commanding presence. When you first equip this wand, it battles you psychically for dominance. Roll Willpower, DC30, and on success, you project your will onto the wand and gain its respect, and it becomes active. If you fail, you must Resist, DC14, but each time you fail again, the Resist DC increases by 4. While this wand is active, you can take a +6 to any Persuasion or Win Over checks that come from a place of projecting authority or leadership or to interact with a dragon, and you can activate the wand to put out a call that the closest wyvern to you will hear regardless of distance. If the wyvern respects your authority, it will come to you and behave as a friendly creature, and if it does not, you can roll Persuasion with this wand’s +6 bonus versus the wyvern’s Strong roll, gaining its respect on a success. If you’ve called a wyvern with this ability and it is friendly to you, you can choose to mark that wyvern with your standard, and any time you activate this special ability, you can choose to call a specific wyvern you’ve marked instead of the closest wyvern. Keep in mind that calling a wyvern does not, in fact, solve all your problems. Sometimes you just have to own up to the fact that you spilled someone’s drink.",wand_1208RNVrc2ecpQc
LUNAR MIST’S BLUE-EYED CHILD,9000,NO,"A wand carved from an entire white stardust birch sapling and crowned with a single Saphi’s whisperbloom, shimmering with an ethereal illusion energy. When you first equip this wand, roll Concentration, DC24. On success, the wand becomes active, and it creates a magical illusory copy of you that looks exactly the same as you except for radiant pale-blue eyes. While this wand is active, you can take a +4 to Illusion, and the second self created acts as a separate entity that has 5 Resolve and the exact same abilities as you and can mimic you and your mannerisms perfectly, but is a separate entity with its own intelligence, and is physically corporeal and capable of using magic. The second self is perfectly loyal to you, friendly and willing to do anything you ask it to, although it may have its particular personality quirks. If your second self reaches 0 Resolve, it disintegrates into a shower of moonlight, and this wand loses its abilities for 24 hours, at the end of which it recreates the second self with 1 Resolve restored. If you fail the check to activate the wand, you are instead locked in a parallel realm for 24 hours while the spectral copy is summoned in your place and causes mischief, which might get you in trouble. Possibly a lot of it.",wand_12123x6ITnHOGsC
THE FORGOTTEN FACELESS GOD,10000,NO,"A delicate, subtly twisted wand made of sleeping willow wood, set with a single weeping goddess crystal, a magic stone of mysterious origins said to be the frozen tear of a forgotten god. When you first equip this wand, roll Comprehend, DC34. On a failure, the wand disappears, reappearing back in a space belonging to you in 24 hours. On a success, the wand slips tendrils of chaotic, twisting magic into your mind, and you parse through ten thousand strands of fantastical magic to find the wand’s true identity, successfully activating it. While this wand is active, you can cast Nondetection as a Basic spell with a +4. If you’re so scared of being perceived that you need a legendary wand to make it go away altogether forever, though, you should try therapy.",wand_122UfRcXgt8nMwG
VASHNAR’S SCEPTER OF THORNS,7500,NO,"A tall, thick staff made of haunting soulleaf wood bound together with a vine from the abyssal bloom, a massive tree with only one known to exist in the world, said in old stories of folk magic to have roots that grow straight down into the demonic plane. When you first equip this wand, it attacks you, lunging and snaring you with tangling vines. Roll Agility and Endurance, both DC21, and if you fail either, you must Resist, DC18. If you succeed on both, you overpower the wand, and you successfully activate it. While this wand is active, you can take a +8 to Herbalism, increase your cultivation capacity by 1000, and you can access your cultivated magic plants from anywhere, as the wand’s abyssal bloom vine comes to life and responds to your commands, spectrally connecting to the plant you want from anywhere on any plane. If you unequip this wand and are over your cultivation capacity as a result, you have 24 hours to get rid of the plants or reequip this wand before the excess plants die.",wand_123cOfMzNSJZvDx
BLACKWEB VOID,9500,NO,"An icy-cold staff made of nularchanite, an unnaturally blacker-than-black metal with powerful antimagic properties found only in SP-UL3342102, a plane where no magic is known to function. When you first equip this wand, roll Recall Information, DC27. On a failure, an icy wave of antimagic flows from the wand and melts through your mind, blocking out magic, and you forget every spell you know for 24 hours and cannot attempt to equip this wand again until then. On a success, you resist the force of antimagic, and you successfully equip the wand. While this wand is active, any spell cast on you that you do not choose to be affected by, if it is cast with a roll less than 20, has no effect. You can use the wand to cast Dispel at will with a roll of 30, and you can activate the wand to create a 1-meter-radius antimagic field as in the spell Nullity Field. You can either place the antimagic field on a fixed point for 24 hours or keep it surrounding you for 30 minutes, but either way, once you do, you cannot use this ability again for 24 hours. Casting antimagic on your homework doesn’t make it go away, though.",wand_124XgkLTymjo5eW
GLACIOCORPUS,5000,YES,"A wand made of crimson ice enchanted with the blood of a water wyrm. While this wand is active, you can take a +6 to all Evocation spells that would cause someone to Resist, and you can activate the wand’s freezing hexological power to chill the blood inside a target’s body. Roll Evocation + 6, DC23, and on success, the target must roll Endurance versus your check or Resist Fear and Wound, both DC16. You must Resist when you use this ability, DC16. If this ability reduces somebody to 0 Resolve, they are frozen from the inside out, and they will not regain Resolve unless you choose to release the effect and allow them to.",wand_125FDJ4gGs7EdVf
SCRIBACORDA,7000,YES,"A small, elegant wand with a classically simple design, made of broken-heart oak woven with nightmare mane hair. While this wand is active, you can take a +6 to any Read Person check to determine a person’s relationships and how they feel about other people, including yourself. You can activate the wand’s power against a target and roll Deception or Persuasion, + 6, DC30. On success, the target must roll Recall Information against your check, and on failure, you rewrite their feelings and memories about people. For each degree of failure on their check, you can implant an idea of a different type of relationship with one person in their head, which they will believe with false memories to back it up, e.g. making someone believe they’re friends with someone they’ve never met, making someone believe they hate a close friend, or making someone no longer know a person they know and trust. You must Resist when you use this ability, DC18.",wand_126GtZoIqxO8Dul
PUPPETMASTER,7000,YES,"A deep royal violet wand forged from the bone of a creature killed by an evil-eyes, bound up in passionoak weave until the hex-steeped bone is hidden away. When this wand is active, you can enchant magic onto people as you can on objects without their consent. This takes ten minutes longer than enchanting a spell onto an object. You can also activate the wand against a target and roll Enchantment, DC26. On a success, the target must roll Willpower against your spell check or be possessed for five minutes per degree of failure on their check. While you have a target possessed, you can psychically control them as an extension of yourself. Once the possession wears off, they will have no memories of the time they were possessed. You must Resist when you use this ability, DC20.",wand_127vO6SG32z7h4d
MIND THIEF,6500,YES,"A heavy, ornate wand made of a deep pink alloy of metals from a far-flung plane of hive-mind consciousness, etched with runic markings that fill up with radiant blue magic when it’s stolen someone’s abilities. While this wand is equipped, you can use it on a target and roll Sleight of Hand, DC25. On success, the target must roll Recall Information versus your check or have one Ability of your choice stolen. Their Ability score suffers a -2 penalty for each degree of failure on their check, and as long as you have this wand equipped, you can take a bonus on that Ability equal to their penalty. You must Resist when you use this ability, DC21. If you use this ability while the wand already has a bonus active, the new one will overwrite the previous one, and the person suffering from the penalty will have their Ability score restored. You could also just try improving your own abilities instead of stealing somebody else’s, but I guess that wouldn’t be as fun.",wand_128OkSDbM5TKE7n
AVIS METUS,7500,YES,"A thick staff made of metusburn, a reviled tree full of hexological fear magic that’s nearly been wiped from existence but still exists in isolated clusters mostly on other planes, and crowned with a heavy iron cap in the shape of a small bird taking flight. While this wand is active, you have a +4 on checks to Resist Fear, and if you force someone to Resist Fear, they have a -4 penalty to the roll. You can activate the wand’s magic to summon a small spectral bird that streaks towards a target and implants itself in their mind. Roll Enchantment, DC27. On a success, the target must roll Agility or Willpower versus your check or be inflicted with a new debilitating fear. Choose one thing per degree of failure on their check for them to become afraid of, and they will need to roll to Resist Fear any time they encounter that thing, with a DC at the GM’s discretion (5-25), higher the more rare and specific the fear. You must Resist Fear when you use this ability, DC25. You cannot use this ability if you have any stacks of Fear.",wand_129ZbvWxmHQhidJ
HAYWORTH’S PEN OF LIES,6000,YES,"A dark, sleek black-onyx wand enchanted with a drop of unicorn’s blood, with a tip like a pen nib that appears loaded with the unicorn’s blood. While this wand is active, you can cast the spell Mindweaver with a +6 bonus, and the spell only costs 1000 materials. The wand is pretty stylish, all things considered, so honestly, gaslighting has never looked so good.",wand_130I5mzvDaz4haU
SPINNER OF DARK FATES,8000,YES,"A jet-black wand made of dark lunar platinum, a version of the precious tychomantic lunar platinum corrupted by hexological magic, connected to the fabric of destiny. While this wand is active, at the start of every day, the GM will present you with two situations that might occur over the day, and you can choose which one will take place (although it is not a guarantee that the other will not). You can also activate the wand’s power and roll Arcane History, DC35 to weave a curse into somebody’s fate. On success, you can choose one person per degree of success (including potentially the same one multiple times), and at some point over the next 24 hours, each person chosen will end up in a situation where they have to Resist, DC17. When you use this ability, you will also end up in a situation where you have to Resist, DC17, over the next 24 hours, whether you succeeded on your check or not. You cannot use this ability again until the 24 hours are up.",wand_131Thl4WSFNtilX
IRRESISTIBLE SPARK,6000,YES,"A long, thin wand in pure ivory white, steeped for three days and three nights in the dreamscape of a person locked in a hexological nightmare. While this wand is active, you can take a +8 to any Charm skill, an ability which must be declared before rolling. If the roll still fails, the target knows you tried to manipulate their mind, and if it fails with two or more degrees of failure, they know it was with hexological magic. Whenever you use this ability, you must Resist, DC10.",wand_132wvnqaD67s0NQ
CURSED FOOTSTEPS,7000,YES,"A long staff like a walking stick, made of griffin yew fired in Ignus flame, with a hooked tip. The claw-foot bottom end leaves a dark shimmer on the ground wherever it touches that disappears shortly after, but lingers invisibly and undetectably waiting to trap someone. While this wand is active, any time someone in a space you’ve been in tries to detect traces of you in that space with divination or chronomancy instead triggers the hexological magic left behind, flaring up and ensnaring them in a dark web. They must Resist, DC20, and they fail to detect you.",wand_133J0aGBp7QXOrv
SONG OF BROKEN FATE,10000,NO,"A wand made of blood-red broken-heart oakwood, touched by the terrible presence of a true demon. When you first equip this wand, you must make a DC30 Willpower roll or be possessed by a true demon's spirit for 1 hour and fail to equip the wand. While this wand is active, you can take a +6 bonus to Arcane History, and at the start of each day, you can see three things that are on course to happen over the day, and you can choose to make any of them guaranteed or impossible to happen. In addition, when you see a check about to take place, you can draw on the power of fate and reduce this wand's condition by 1000 materials in order to decide the check succeeds or fails, regardless of the DC.",type_134gYwb3bNRfHsp